C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\transformer.py:379: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
2026-03-05 00:43:33,708 | INFO | Epoch 055 | train L=-27.34251 A_total=0.5749 NF_acc=0.9239 skip=0 | val L=-23.13997 A_total=0.4413 NF_acc=0.7847 skip=0
2026-03-05 00:43:57,624 | INFO | Epoch 056 | train L=-27.43618 A_total=0.5722 NF_acc=0.9305 skip=0 | val L=-23.43864 A_total=0.4185 NF_acc=0.8030 skip=0
2026-03-05 00:44:21,574 | INFO | Epoch 057 | train L=-27.66566 A_total=0.5815 NF_acc=0.9305 skip=0 | val L=-23.31601 A_total=0.4658 NF_acc=0.7980 skip=0
2026-03-05 00:44:45,592 | INFO | Epoch 058 | train L=-27.79144 A_total=0.5849 NF_acc=0.9367 skip=0 | val L=-22.35009 A_total=0.4511 NF_acc=0.7807 skip=0
2026-03-05 00:45:09,561 | INFO | Epoch 059 | train L=-27.89200 A_total=0.5837 NF_acc=0.9376 skip=0 | val L=-23.74309 A_total=0.4691 NF_acc=0.8043 skip=0
2026-03-05 00:45:33,640 | INFO | Epoch 060 | train L=-28.07786 A_total=0.6023 NF_acc=0.9385 skip=0 | val L=-23.79128 A_total=0.4498 NF_acc=0.7883 skip=0
2026-03-05 00:45:57,551 | INFO | Epoch 061 | train L=-28.23651 A_total=0.6040 NF_acc=0.9419 skip=0 | val L=-23.82526 A_total=0.4008 NF_acc=0.7807 skip=0
2026-03-05 00:46:21,569 | INFO | Epoch 062 | train L=-28.35758 A_total=0.6056 NF_acc=0.9439 skip=0 | val L=-23.68491 A_total=0.3950 NF_acc=0.7793 skip=0
2026-03-05 00:46:21,622 | INFO | Early stopping at epoch 62
2026-03-05 00:46:21,622 | INFO | Stage2 done. best_epoch=50 best_A_total=0.471272
Run dir: runs\exp_joint_formal_need2_e2_v1
best_epoch: 50
best_A_total: 0.4712719087600708
elapsed_seconds: 1954.593824148178
best_checkpoint: runs\exp_joint_formal_need2_e2_v1\checkpoints\best.pt
last_checkpoint: runs\exp_joint_formal_need2_e2_v1\checkpoints\last.pt
